Country,Launch Site,Vehicle,"[30.972 S, 136.475 E]"
,250: (Energia)(Inactive >1988) ,,"[46.008 N, 63.305 E]"
"Plesetsk Cosmodrome, Russia (PL)",16/2: (Soyuz/Molniya) ,,"[62.960 N, 40.682 E]"
,32/1 (32L): (Tsyklon 3) ,,"[62.907 N, 40.787 E]"
,32/2 (32R): (Tsyklon 3) ,,"[62.906 N, 40.789 E]"
,35: (Angara) Under Construction ,,"[62.928 N, 40.575 E]"
,41/1: (Soyuz/Molniya)(Inactive >1989) ,,"[62.941 N, 40.529 E]"
,43/3 (43L): (Soyuz/Molniya) ,,"[62.927 N, 40.450 E]"
,43/4 (43R): (Soyuz/Molniya/Soyuz-2) ,,"[62.929 N, 40.457 E]"
,132/1 (132L): (Kosmos 3M) ,,"[62.883 N, 40.868 E]"
,132/2 (132R): (Kosmos 3M)(Inactive >1990) ,,"[62.884 N, 40.872 E]"
,"133/3 (133L): (Kosmos 3M 1985-94, Rokot 2000-) ",,"[62.887 N, 40.847 E]"
"Kapustin Yar, Russia (KY)",107/1: (Kosmos 3M) ,,"[48.541 N, 46.300 E]"
,107/2: (Kosmos 3M) ,,"[48.540 N, 46.298 E]"
,,,"[51.792 N, 128.185 E]"
"Svobodney Cosmodrome, Russia (SV)",Start Launch Site: (Start-1) ,,
,,,"[51.036 N, 59.958 E]"
"Dombarovskiy, Russia (DO)",,,
,Yasny Launch Site ICBM silo (R-36M2/Dnepr): ,,
,,,
,,,"[51.885 N, 128.335 E]"
"Vostochnyy Cosmodrome, Russia (SV)",Soyuz 2 Launch Site: (LD 1) ,,
,,,
,,,
,"Sea Launch Home Port, Long Beach, CA ",,"[33.745 N, 118.224 W]"
SEA LAUNCH,Sea Launch Site: (Zenit 3SL/Blok DMSL)(POR) ,,"[0.0 N, 154.0 W]"
SOUTH KOREA,"Naro Space Center, Goheung, S. Jeolla (NA)",KSLV 1 (2009) ,"[34.432 N, 127.535 E]"
"USA,Cape Canaveral, FL (CC)",SLC 37B: (Delta 4 2002- ) ,,"[28.531 N, 80.565 W] "
,SLC 40: (Falcon 9 2010- )               ,,"[28.562 N, 80.577 W]"
,SLC 41: (Atlas 5 2002- ) ,,"[28.583 N, 80.583 W]"
"USA Kennedy Space Center, FL (KSC)","LC 39A: (Saturn 5, 1967-73, Shuttle, 1981-2011,",,"[28.583 N, 80.583 W]"
,"          Falcon 9, 2017-  )",,"[28.458 N, 80.528 W]"
